state name,2014,2015,2016,2017,2018,2019,2020
South Carolina,1.02,1.06,1.19,1.22,1.28,1.31,1.41
Idaho,1.02,1.07,1.17,1.34,1.84,1.77,2.13
Montana,0.78,0.83,0.86,0.63,1.15,0.86,1.05
Maine,0.02,0.04,0.06,0.02,0.2,0.2,0.4
Missouri,0.35,0.29,0.23,0.26,0.24,0.24,0.32
Mississippi,0.25,0.13,0.04,-0.1,0.09,-0.15,-0.09
Nebraska,0.76,0.74,0.64,0.67,0.57,0.52,0.48
Florida,1.42,1.47,1.47,1.73,1.58,1.47,1.51
Wyoming,0.9,0.77,0.58,0.03,-0.23,-0.14,0.06
Delaware,0.95,1.02,0.89,0.97,0.61,0.82,1.09
Nevada,1.15,1.34,1.45,1.71,1.22,1.69,1.95
Wisconsin,0.31,0.3,0.22,0.15,0.26,0.21,0.28
Illinois,0.16,0.04,-0.17,0.02,-0.26,-0.4,-0.43
New Mexico,0.5,0.19,-0.07,0.1,0.36,0,0.22
Puerto Rico,-1.19,-1.54,-1.5,-1.71,-2.36,-2.02,-1.89
South Dakota,1.15,1.02,0.93,0.52,1.03,0.73,1
West Virginia,0.01,-0.13,-0.29,-0.5,-0.42,-0.64,-0.54
Colorado,1.53,1.56,1.52,1.44,1.74,1.43,1.33
Washington,1.17,1.25,1.26,1.37,1.73,1.5,1.46
Kansas,0.52,0.35,0.18,0.19,0.17,0.06,0.07
Arizona,1.26,1.23,1.3,1.21,2.01,1.49,1.76
Rhode Island,0.15,0.04,0.08,0.16,0.04,0.06,0.05
North Dakota,2.2,2.37,2.01,1.27,0.9,0.6,0.49
Oregon,0.82,1,1.09,1.08,1.41,1.17,1.13
Michigan,0.03,0.12,0.09,0.16,0.32,0.08,0.09
Minnesota,0.67,0.66,0.58,0.73,0.67,0.65,0.66
California,1.08,0.93,0.61,0.85,0.43,0.34,0.16
Connecticut,0.24,0.03,-0.13,0.16,-0.36,-0.18,-0.13
Texas,1.77,1.71,1.57,1.72,1.7,1.35,1.33
Oklahoma,0.87,0.81,0.67,0.53,0.56,0.38,0.42
Maryland,0.92,0.73,0.5,0.61,0.12,0.26,0.31
North Carolina,1.03,0.97,0.97,1.12,1.03,1.08,1.18
New Hampshire,0.14,0.24,0.25,0.33,0.88,0.34,0.53
District of Columbia,2.32,2.17,1.78,2.03,1.8,1.2,1.34
Iowa,0.51,0.5,0.42,0.37,0.46,0.22,0.33
Pennsylvania,0.21,0.16,0.03,0.05,0.01,0,0.03
Hawaii,1.19,0.98,0.52,0.56,0.03,0,-0.14
Alaska,1.11,0.7,0.47,0.23,-0.01,-0.2,-0.01
Virginia,1.04,0.87,0.65,0.67,0.57,0.48,0.65
Indiana,0.42,0.4,0.32,0.38,0.35,0.43,0.47
Louisiana,0.72,0.53,0.44,0.38,0,0.02,0.01
Tennessee,0.76,0.75,0.74,0.75,0.81,0.88,0.94
Massachusetts,0.79,0.73,0.55,0.7,0.6,0.3,0.33
New York,0.55,0.4,0.12,0.51,-0.91,-0.24,-0.29
Arkansas,0.47,0.38,0.35,0.32,0.43,0.29,0.42
Georgia,0.99,1,0.93,1.01,0.94,1.03,1.08
Ohio,0.09,0.13,0.09,0.2,0.28,0.12,0.17
Kentucky,0.5,0.32,0.33,0.28,0.36,0.2,0.29
Vermont,0.07,0.04,-0.06,-0.26,0.05,-0.11,0
Utah,1.58,1.58,1.55,1.54,1.72,1.69,1.76
Alabama,0.38,0.27,0.22,0.2,0.29,0.24,0.35
New Jersey,0.48,0.34,0.12,0.5,-0.87,-0.04,0.08
